space_id,organization_id,identifier_value
10234,4247,000009106787
10236,4248,000007457636
10238,4249,000009044090
10240,4250,000008826495
10242,4251,000006241320
10244,4252,000008908115
10246,4253,000009028113
10248,4254,000009132393
10250,4255,000009018803
10252,4256,000008623447
10254,4257,000005513268
10256,4258,000008283807
10258,4259,000008973735
10260,4260,000008924320
10262,4261,000005490567
10264,4262,000005650968
10266,4263,000008879039
10268,4264,000008879077
10270,4265,000008842803
10272,4266,000008826874
10274,4267,000005337087
10276,4268,003310344041
10278,4269,000008375137
10280,4270,000007813847
10282,4271,000008940656
10284,4272,003326940011
10286,4273,000008908657
10288,4274,000008676138
10290,4275,000008846048
10292,4276,000006712701
10294,4277,000008561212
10296,4278,000006163316
10298,4279,000006251548
10300,4280,000008940918
10302,4281,000008797973
10304,4282,000008803337
10306,4283,000007817010
10308,4284,000001531003
10310,4285,000006579303
10312,4286,000005304154
10314,4287,000007313022
10316,4288,000007778395
10318,4289,000006935069
10320,4290,000008113577
10322,4291,000008600233
10324,4292,000008780716
10326,4293,000007794451
10328,4294,008386911041
10330,4295,000005605138
10332,4296,000008385105
10334,4297,000006300044
10336,4298,000008359786
10338,4299,000002122071
10340,4300,000008123224
10342,4301,000008780974
10344,4302,000008901373
10346,4303,000008571187
10348,4304,011760252302
10350,4305,000006693373
10352,4306,000008342510
10354,4307,000008872074
10356,4308,000008901430
10358,4309,000002992547
10360,4310,091465900021
10362,4311,000007735945
10364,4312,079283123121
10366,4313,011842355123
10368,4314,000008960448
10370,4315,099940806001
10372,4316,000008424378
10374,4317,000007399296
10376,4318,099972910453
10378,4319,000007964761
10380,4320,099940407602
10382,4321,000008709365
10384,4322,000003135614
10386,4323,000009064615
10388,4324,000006042671
10390,4325,000008901812
10392,4326,000001371613
10394,4327,000009146412
10396,4328,000008133374
10398,4329,000007235287
10400,4330,000008970349
10402,4331,000006726284
10404,4332,000008856741
10406,4333,000008866242
10408,4334,000008434396
10410,4335,000008807451
10412,4336,000007837170
10414,4337,099942213801
10416,4338,000007673986
10418,4339,000001355986
10420,4340,000007382656
10422,4341,000006468586
10424,4342,000007595327
10426,4343,000008970758
10428,4344,000009015914
10430,4345,000007251751
10432,4346,000008133883
10434,4347,000007749286
10436,4348,000006785554
10438,4349,022220243301
10440,4350,000007579490
10442,4351,000007984521
10444,4352,000005723039
10446,4353,000007968557
10448,4354,011843920291
10450,4355,000009025495
10452,4356,000007820183
10454,4357,000009084337
10456,4358,000005406256
10458,4359,005531112851
10460,4360,015758494801
10462,4361,000001195935
10464,4362,000007847060
10466,4363,000005465167
10468,4364,000008980468
10470,4365,000008450961
10472,4366,000005180383
10474,4367,000000431332
10476,4368,000008794737
10478,4369,000009041741
10480,4370,000007759019
10482,4371,000006347436
10484,4372,000008493962
10486,4373,000009094042
10488,4374,000006056076
10490,4375,000001172264
10492,4376,000006965244
10494,4377,000009009841
10496,4378,000008974124
10498,4379,000007820561
10500,4380,000009238527
10502,4381,000008399318
10504,4382,000008788415
10506,4383,000007556101
10508,4384,000008702831
10510,4385,000008892834
10512,4386,000008941086
10514,4387,000008356804
10516,4388,000008411708
10518,4389,000008608411
10520,4390,000008909347
10522,4391,000009117587
10524,4392,094720129053
10526,4393,000007660879
10528,4394,000009045409
10530,4395,000005864690
10532,4396,000005485007
10534,4397,000009389137
10536,4398,000002283883
10538,4399,000008886716
10540,4400,003301010632
10542,4401,000002578236
10544,4402,020756335801
10546,4403,000007232030
10548,4404,094783724902
10550,4405,000008229258
10552,4406,000009012313
10554,4407,000008431145
10556,4408,000001176236
10558,4409,000005710026
10560,4410,000007873905
10562,4411,000002250845
10564,4412,000008245430
10566,4413,000008229422
10568,4414,000009055432
10570,4415,000006985487
10572,4416,000009098382
10574,4417,000006301062
10576,4418,000008994499
10578,4419,000007242054
10580,4420,020778001303
10582,4421,000005698518
10584,4422,000009071732
10586,4423,000008919717
10588,4424,000008644327
10590,4425,000000232786
10592,4426,000007867859
10594,4427,015759138501
10596,4428,000008873056
10598,4429,000008873061
10600,4430,000008599004
10602,4431,000008804845
10604,4432,078612202051
10606,4433,000008857112
10608,4434,000008775524
10610,4435,000003701834
10612,4436,000007363985
10614,4437,000007789294
10616,4438,000008994873
10618,4439,000009032091
10620,4440,000008814475
10622,4441,000008726278
10624,4442,000008830520
10626,4443,000008458922
10628,4444,000009235420
10630,4445,000007772148
10632,4446,000008441688
10634,4447,000008912303
10636,4448,000001186754
10638,4449,000008468523
10640,4450,000008556776
10642,4451,000009091264
10644,4452,000008883079
